what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1644128362961
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1644128362988
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1644128364244
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildProject",1644128367559
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1644128370159
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1644128391988
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1644128395034
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1644128730013
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1644128733053
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1644128799204
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1644128802930
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1644128806385
executed,command,com.telink.tc32eclipse.ui,1.0.4.2,"com.telink.tc32eclipse.commands.tcdb",1644128806403
executed,command,com.telink.tc32eclipse.ui,1.0.4.2,"com.telink.tc32eclipse.commands.wtcdb",1644128809318
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1644128809381
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1644129014290
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1644129014323
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1644129015467
error,log,,,"Error starting process.",1644129024443
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1644129024455
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1644129041014
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1644129041602
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1644136634916
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1644136636136
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1644136636392
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1644136638418
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1644136640999
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildProject",1644136644562
