what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645933766565
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645933786738
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1645933789378
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1645933789601
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1645933789656
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1645933791363
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1645933791582
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1645933791630
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.add.block.comment",1645933804450
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1645933807459
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1645933807514
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1645933817129
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1645933817180
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildProject",1645933831003
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645933832659
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645933843223
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645933846875
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645933848585
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1645933848613
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645933849943
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645933863524
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645933865043
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645933873143
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645933879740
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645933881810
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1645933881833
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645933891804
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645933930919
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.backwardHistory",1645933943691
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1645933949283
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1645933950213
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1645933951064
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1645933951273
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1645933960170
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645933963634
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645934026003
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645934027515
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645934052776
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1645934073104
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1645934073317
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1645934074244
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1645934074429
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1645934076962
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1645934087377
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1645934097328
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildProject",1645934100262
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645934104565
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645934131290
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645934143287
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645934145654
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645934147473
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645934152951
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645934153165
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645934155219
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645934155264
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645934157102
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645934157257
stopped,bundle,org.eclipse.cdt.launch.remote,2.2.0.201102110609,"org.eclipse.cdt.launch.remote",1645934157464
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1645934157464
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1645934157464
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.1.201102110609,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1645934157464
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201102110609,"org.eclipse.cdt.debug.ui.memory.search",1645934157464
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1645934157464
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.2.201102110609,"org.eclipse.cdt.dsf.ui",1645934157480
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201102110609,"org.eclipse.cdt.gdb.ui",1645934157481
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1645934157483
activated,perspective,org.eclipse.cdt.ui,,"org.eclipse.cdt.ui.CPerspective",1646055917252
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1646055917252
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1646055917252
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1646055917252
started,bundle,org.eclipse.cdt.core,5.2.1.201102110609,"org.eclipse.cdt.core",1646055917252
started,bundle,org.eclipse.cdt.make.core,7.0.1.201102110609,"org.eclipse.cdt.make.core",1646055917252
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui",1646055917252
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.2.201102110609,"org.eclipse.cdt.managedbuilder.core",1646055917252
started,bundle,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui",1646055917252
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1646055917252
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1646055917252
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1646055917269
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1646055917269
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1646055917269
