HYP_ECG1.HYP,HYP_PCG1.HYP,HYP_APG1.HYP,HYP_ECG2.HYP,HYP_PCG2.HYP,HYP_APG2.HYP,ECG_P_L.MOD,PCG_P_L.MOD,APG_L.MOD,ECG_P_R.MOD,PCG_P_R.MOD,APG_R.MOD,ECG_TH.MOD,APG_TH.MOD
2492,2281,2124,1995,2191,2351,1928,2195,2807,2312,1962,2654,2629,2521
2479,2275,2118,1996,2148,2346,1929,2196,2813,2313,1918,2669,2620,2526
2464,2270,2112,1996,2111,2353,1930,2172,2800,2316,1871,2687,2609,2548
2450,2255,2129,1997,2086,2352,1928,2108,2791,2318,1848,2701,2599,2567
2436,2241,2126,1997,2053,2346,1929,2024,2789,2321,1845,2714,2586,2586
2421,2237,2122,1997,2020,2337,1927,1965,2775,2323,1828,2722,2575,2593
2404,2241,2110,1997,1998,2343,1927,1907,2768,2328,1817,2732,2560,2606
2388,2244,2105,1997,1975,2333,1925,1784,2755,2332,1807,2755,2545,2601
2373,2250,2108,1997,1956,2355,1923,1674,2747,2337,1812,2773,2530,2625
2357,2254,2096,1998,1946,2330,1922,1588,2746,2339,1829,2780,2513,2633
2341,2259,2115,1998,1939,2332,1920,1540,2733,2344,1867,2792,2497,2650
2325,2255,2098,1999,1926,2347,1919,1603,2725,2348,1915,2792,2478,2651
2310,2252,2124,1999,1913,2330,1917,1440,2710,2353,1960,2803,2462,2662
2294,2256,2100,2000,1920,2324,1916,1384,2700,2357,2005,2818,2442,2680
2280,2250,2075,2002,1922,2337,1914,1512,2688,2361,2030,2835,2425,2680
2265,2245,2095,2002,1933,2319,1913,1449,2694,2366,2045,2834,2405,2701
2251,2239,2065,2003,1938,2356,1912,1563,2676,2372,2061,2838,2388,2709
2237,2219,2071,2007,1941,2322,1913,2013,2659,2378,2097,2850,2369,2710
2221,2195,2081,2011,1951,2328,1913,2387,2654,2384,2134,2860,2350,2721
2208,2175,2053,2016,1950,2323,1914,2756,2649,2389,2149,2867,2333,2738
2194,2146,2053,2024,1965,2340,1915,3075,2637,2396,2175,2876,2314,2737
2179,2120,2071,2034,1991,2348,1915,2879,2625,2401,2185,2889,2297,2748
2165,2095,2063,2047,2023,2303,1915,2530,2618,2408,2193,2894,2279,2753
2153,2070,2052,2061,2049,2341,1916,2562,2601,2413,2214,2896,2262,2771
2139,2058,2048,2074,2078,2311,1917,2953,2591,2421,2200,2905,2244,2766
2127,2039,2024,2088,2121,2333,1917,3393,2580,2428,2174,2907,2229,2780
2114,2024,2009,2102,2164,2320,1917,3643,2577,2436,2150,2922,2212,2785
2103,1997,2013,2117,2211,2314,1917,3558,2560,2442,2109,2920,2196,2801
2092,1973,2004,2134,2247,2313,1917,3310,2538,2449,2071,2938,2181,2804
2082,1956,1991,2151,2273,2299,1916,3060,2529,2457,2043,2948,2165,2809
2072,1955,2001,2171,2296,2307,1916,2807,2515,2464,2029,2937,2151,2822
2062,1961,1991,2194,2306,2312,1917,2494,2503,2471,2020,2955,2136,2827
2052,1996,1987,2220,2315,2313,1917,2100,2489,2477,2015,2954,2125,2833
2042,2013,1977,2247,2305,2306,1917,1640,2475,2486,1997,2969,2111,2830
2033,2019,1952,2270,2310,2309,1917,1217,2457,2493,1989,2979,2100,2836
2027,2016,1951,2286,2303,2313,1918,944,2438,2503,1963,2981,2086,2846
2020,2014,1946,2299,2288,2311,1918,802,2403,2510,1920,2987,2076,2854
2012,2019,1927,2307,2263,2296,1920,746,2400,2520,1891,2993,2065,2857
2005,2029,1956,2310,2251,2320,1921,720,2370,2529,1868,3009,2053,2864
1999,2050,1934,2307,2233,2319,1923,696,2350,2537,1846,3007,2044,2867
1994,2064,1913,2293,2198,2300,1924,705,2338,2547,1817,3025,2033,2872
1989,2065,1918,2268,2159,2292,1925,812,2325,2554,1804,3027,2025,2878
1985,2067,1922,2229,2119,2305,1927,968,2316,2563,1791,3033,2015,2883
1982,2061,1890,2180,2067,2308,1928,1105,2310,2570,1791,3033,2008,2890
1979,2060,1890,2119,2011,2296,1929,1250,2301,2579,1808,3050,1999,2898
1975,2052,1885,2049,1942,2300,1931,1393,2299,2585,1818,3060,1992,2908
1974,2056,1886,1976,1887,2278,1933,1579,2300,2594,1829,3066,1984,2897
1971,2059,1868,1902,1833,2298,1935,1767,2312,2600,1826,3070,1978,2903
1968,2063,1850,1827,1796,2293,1936,1951,2306,2608,1825,3070,1973,2906
1965,2064,1861,1754,1753,2305,1938,2134,2328,2615,1848,3070,1967,2914
1963,2047,1838,1685,1705,2295,1939,2324,2324,2620,1867,3083,1962,2913
1960,2039,1842,1619,1664,2289,1941,2484,2313,2626,1893,3084,1958,2913
1957,2034,1831,1556,1619,2292,1942,2647,2329,2631,1919,3076,1954,2923
1954,2047,1839,1493,1593,2295,1942,2821,2323,2636,1928,3080,1949,2920
1951,2055,1826,1429,1572,2292,1943,2962,2344,2638,1932,3090,1945,2932
1950,2047,1808,1364,1568,2281,1943,3063,2368,2643,1952,3087,1940,2936
1948,2046,1799,1300,1575,2283,1945,3101,2343,2645,1965,3091,1937,2928
1946,2042,1798,1243,1610,2290,1945,3075,2356,2651,1991,3084,1934,2929
1945,2042,1757,1197,1650,2283,1946,3024,2361,2655,2016,3083,1930,2930
1943,2039,1797,1164,1683,2274,1946,2959,2385,2657,2021,3087,1928,2934
1942,2044,1788,1141,1706,2295,1948,2866,2394,2662,2032,3093,1924,2928
1941,2055,1773,1130,1737,2281,1949,2744,2371,2664,2030,3083,1922,2939
1940,2051,1767,1130,1724,2280,1949,2596,2376,2668,2035,3077,1919,2939
1939,2044,1757,1138,1446,2287,1950,2438,2372,2669,2056,3095,1918,2950
1938,2027,1752,1154,975,2284,1950,2265,2367,2671,2073,3080,1915,2928
1937,2013,1766,1176,718,2266,1951,2091,2399,2672,2102,3069,1914,2945
1936,2009,1754,1208,624,2266,1950,1917,2400,2673,2130,3071,1912,2935
1936,2005,1749,1245,636,2278,1951,1755,2369,2671,2161,3065,1911,2934
1935,2003,1736,1285,716,2267,1952,1620,2368,2669,2180,3074,1909,2934
1934,1988,1738,1328,893,2270,1951,1484,2356,2668,2183,3064,1908,2933
1932,1996,1744,1371,1171,2259,1952,1387,2368,2664,2195,3065,1908,2940
1931,1995,1744,1416,1592,2265,1951,1336,2344,2660,2195,3066,1907,2932
1930,1991,1742,1462,2165,2275,1951,1315,2350,2656,2205,3045,1905,2941
1929,1984,1730,1506,2777,2273,1951,1325,2364,2652,2223,3048,1905,2926
1929,1983,1715,1549,3235,2287,1951,1337,2357,2648,2240,3047,1904,2936
1929,1953,1725,1590,3431,2264,1953,1350,2349,2643,2254,3029,1903,2929
1930,1894,1736,1629,3366,2285,1951,1359,2345,2638,2278,3034,1902,2925
1930,1865,1713,1669,3167,2255,1952,1410,2344,2631,2304,3027,1901,2920
1930,1801,1708,1708,2927,2259,1951,1486,2337,2625,2313,3015,1900,2925
1930,1713,1712,1745,2761,2305,1952,1589,2326,2618,2315,3013,1899,2919
1929,1623,1700,1780,2733,2282,1952,1718,2333,2611,2303,3000,1898,2922
1928,1527,1689,1814,2892,2284,1952,1850,2323,2604,2274,3003,1898,2918
1927,1612,1697,1845,3217,2274,1952,1966,2317,2594,2249,2985,1897,2917
1926,1335,1704,1876,3674,2265,1952,2078,2322,2584,2229,2984,1897,2907
1925,1222,1700,1903,4095,2253,1953,2200,2328,2573,2224,2963,1897,2904
1924,1444,1674,1929,4095,2263,1953,2342,2319,2561,2242,2963,1896,2909
1923,1307,1700,1953,4095,2266,1955,2437,2324,2548,2266,2948,1897,2897
1922,1377,1682,1975,4095,2269,1954,2476,2319,2534,2280,2937,1896,2894
1923,1848,1677,1996,4095,2285,1954,2512,2335,2520,2293,2935,1897,2890
1923,2203,1678,2015,4095,2269,1955,2591,2335,2505,2313,2925,1896,2891
1923,2408,1668,2033,4095,2258,1953,2638,2342,2490,2324,2910,1896,2884
1923,2804,1662,2052,4062,2247,1953,2640,2336,2475,2336,2900,1897,2884
1923,2827,1675,2065,3074,2260,1951,2626,2355,2460,2336,2889,1896,2861
1922,2657,1676,2078,2199,2253,1949,2597,2354,2444,2340,2878,1897,2875
1922,2818,1679,2090,1862,2252,1950,2571,2366,2428,2330,2874,1897,2861
1923,3172,1673,2102,2186,2242,1949,2519,2372,2411,2320,2853,1897,2856
1923,3523,1664,2113,2413,2233,1950,2462,2372,2394,2313,2858,1898,2848
1925,3707,1659,2122,1939,2263,1949,2401,2377,2377,2275,2842,1898,2860
1924,3581,1662,2129,972,2268,1951,2343,2385,2360,2273,2833,1898,2844
1924,3238,1656,2136,12,2239,1950,2272,2393,2343,2282,2820,1897,2831
1924,2891,1668,2142,12,2249,1953,2202,2392,2325,2250,2805,1898,2830
1923,2572,1661,2149,13,2247,1954,2129,2403,2308,2280,2807,1899,2829
1922,2216,1657,2155,13,2252,1955,2046,2407,2290,2263,2791,1900,2826
1922,1815,1675,2161,13,2266,1957,1972,2406,2273,2237,2778,1901,2815
1921,1380,1661,2166,12,2235,1957,1904,2413,2257,2256,2778,1903,2800
1921,1010,1656,2171,12,2245,1959,1877,2415,2240,2258,2768,1906,2806
1923,783,1645,2175,152,2250,1959,1869,2415,2223,2248,2755,1908,2793
1925,694,1654,2180,788,2230,1959,1834,2409,2207,2238,2756,1908,2784
1925,677,1659,2186,1367,2217,1959,1790,2416,2191,2240,2746,1908,2770
1926,691,1634,2190,2024,2231,1958,1745,2421,2175,2234,2737,1908,2770
1927,769,1642,2196,2755,2216,1958,1719,2412,2160,2178,2707,1910,2760
1928,914,1632,2199,3443,2236,1956,1706,2422,2146,2139,2707,1911,2760
1930,1153,1645,2203,3926,2222,1955,1703,2423,2133,2148,2696,1913,2757
1930,1429,1653,2207,4083,2234,1955,1706,2412,2119,2071,2714,1913,2740
1931,1583,1649,2209,3933,2237,1954,1737,2410,2108,2095,2681,1914,2740
1932,1577,1650,2212,3530,2216,1954,1829,2420,2097,2096,2685,1913,2732
1933,1739,1645,2215,3025,2227,1954,1923,2417,2087,2118,2673,1914,2740
1933,1784,1654,2217,2549,2216,1955,1987,2414,2075,2117,2688,1915,2725
1933,1805,1628,2219,2188,2220,1955,2032,2412,2065,2121,2675,1914,2692
1933,1905,1643,2222,1974,2208,1955,2079,2399,2054,2140,2669,1916,2702
1932,2055,1621,2225,1865,2222,1955,2133,2406,2044,2092,2651,1915,2701
1932,2219,1643,2228,1822,2225,1956,2188,2410,2034,2080,2638,1917,2703
1933,2371,1651,2231,1821,2212,1956,2234,2405,2026,2073,2633,1917,2709
1933,2494,1624,2233,1805,2209,1955,2248,2402,2017,1989,2646,1919,2674
1934,2587,1625,2236,1804,2198,1956,2232,2405,2009,1973,2639,1919,2672
1935,2609,1647,2239,1765,2216,1954,2184,2404,2003,1932,2616,1920,2648
1936,2670,1624,2242,1695,2210,1954,2140,2393,1996,1931,2616,1921,2649
1938,2778,1618,2244,1571,2209,1953,2124,2387,1990,1926,2614,1921,2663
1939,2897,1617,2245,1436,2200,1952,2130,2396,1983,1902,2601,1923,2641
1941,3001,1623,2247,1306,2206,1951,2120,2390,1977,1930,2585,1922,2635
1942,3061,1611,2248,1246,2183,1951,2101,2384,1973,1934,2593,1924,2629
1944,3052,1646,2249,1257,2221,1950,2070,2386,1968,1937,2595,1923,2644
1945,2975,1617,2251,1282,2204,1949,2047,2370,1964,1933,2587,1925,2639
1946,2853,1632,2251,1288,2209,1950,2014,2371,1958,1931,2578,1925,2617
1947,2716,1629,2252,1265,2197,1949,1974,2369,1954,1952,2573,1926,2604
1948,2568,1603,2253,1240,2203,1951,1942,2363,1949,1964,2570,1926,2612
1948,2405,1648,2255,1248,2181,1950,1938,2357,1944,2003,2571,1927,2602
1948,2238,1615,2257,1307,2205,1952,1942,2350,1939,1986,2563,1927,2619
1948,2056,1615,2259,1411,2210,1953,1948,2350,1934,2016,2562,1927,2591
1949,1876,1615,2262,1517,2186,1953,1932,2323,1931,2000,2539,1929,2585
